ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	KEGG_PATHWAY	OMIM_DISEASE	REACTOME_PATHWAY
FCN3	ficolin 3(FCN3)	Homo sapiens	"GO:0001867~complement activation, lectin pathway,GO:0006508~proteolysis,GO:0006956~complement activation,GO:0043654~recognition of apoptotic cell,GO:0046597~negative regulation of viral entry into host cell,GO:0051607~defense response to virus,GO:1902679~negative regulation of RNA biosynthetic process,"	"GO:0005576~extracellular region,GO:0005581~collagen trimer,GO:0072562~blood microparticle,"	"GO:0003823~antigen binding,GO:0004252~serine-type endopeptidase activity,GO:0005515~protein binding,GO:0030246~carbohydrate binding,GO:0046872~metal ion binding,"		"613860~Immunodeficiency due to ficolin 3 deficiency,"	"R-HSA-166662:R-HSA-166662,R-HSA-166663:R-HSA-166663,R-HSA-2855086:R-HSA-2855086,"
FLT3LG	fms related tyrosine kinase 3 ligand(FLT3LG)	Homo sapiens	"GO:0001934~positive regulation of protein phosphorylation,GO:0007165~signal transduction,GO:0008284~positive regulation of cell proliferation,GO:0030098~lymphocyte differentiation,GO:0030885~regulation of myeloid dendritic cell activation,GO:0032825~positive regulation of natural killer cell differentiation,GO:0035162~embryonic hemopoiesis,GO:0045663~positive regulation of myoblast differentiation,GO:0045787~positive regulation of cell cycle,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048873~homeostasis of number of cells within a tissue,GO:0071864~positive regulation of cell proliferation in bone marrow,GO:0071866~negative regulation of apoptotic process in bone marrow,GO:0090290~positive regulation of osteoclast proliferation,GO:1901741~positive regulation of myoblast fusion,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0031233~intrinsic component of external side of plasma membrane,"	"GO:0005102~receptor binding,GO:0005125~cytokine activity,GO:0016301~kinase activity,GO:0030971~receptor tyrosine kinase binding,GO:0042803~protein homodimerization activity,"	"hsa04640:Hematopoietic cell lineage,hsa05200:Pathways in cancer,"		"R-HSA-449147:R-HSA-449147,"
GSN	gelsolin(GSN)	Homo sapiens	"GO:0006911~phagocytosis, engulfment,GO:0010628~positive regulation of gene expression,GO:0014891~striated muscle atrophy,GO:0022617~extracellular matrix disassembly,GO:0030041~actin filament polymerization,GO:0031648~protein destabilization,GO:0042989~sequestering of actin monomers,GO:0044267~cellular protein metabolic process,GO:0045010~actin nucleation,GO:0046597~negative regulation of viral entry into host cell,GO:0051014~actin filament severing,GO:0051016~barbed-end actin filament capping,GO:0051127~positive regulation of actin nucleation,GO:0051693~actin filament capping,GO:0060271~cilium morphogenesis,GO:0071801~regulation of podosome assembly,GO:0090527~actin filament reorganization,GO:0097017~renal protein absorption,GO:0097284~hepatocyte apoptotic process,GO:1902174~positive regulation of keratinocyte apoptotic process,GO:1903689~regulation of wound healing, spreading of epidermal cells,GO:1903903~regulation of establishment of T cell polarity,GO:1903906~regulation of plasma membrane raft polarization,GO:1903909~regulation of receptor clustering,GO:1903923~positive regulation of protein processing in phagocytic vesicle,GO:1990000~amyloid fibril formation,GO:2001269~positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway,"	"GO:0002102~podosome,GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005925~focal adhesion,GO:0015629~actin cytoskeleton,GO:0016528~sarcoplasm,GO:0030478~actin cap,GO:0030864~cortical actin cytoskeleton,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,"	"GO:0003779~actin binding,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0019904~protein domain specific binding,GO:0045159~myosin II binding,"	"hsa04666:Fc gamma R-mediated phagocytosis,hsa04810:Regulation of actin cytoskeleton,hsa05203:Viral carcinogenesis,"	"105120~Amyloidosis, Finnish type,"	"R-HSA-264870:R-HSA-264870,R-HSA-977225:R-HSA-977225,"
GDF15	growth differentiation factor 15(GDF15)	Homo sapiens	"GO:0007165~signal transduction,GO:0007179~transforming growth factor beta receptor signaling pathway,GO:0007267~cell-cell signaling,GO:0010862~positive regulation of pathway-restricted SMAD protein phosphorylation,GO:0042981~regulation of apoptotic process,GO:0043408~regulation of MAPK cascade,GO:0048468~cell development,GO:0060395~SMAD protein signal transduction,GO:1901741~positive regulation of myoblast fusion,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0070062~extracellular exosome,"	"GO:0005125~cytokine activity,GO:0005160~transforming growth factor beta receptor binding,GO:0005515~protein binding,GO:0008083~growth factor activity,"			
GH1	growth hormone 1(GH1)	Homo sapiens	"GO:0002092~positive regulation of receptor internalization,GO:0007259~JAK-STAT cascade,GO:0010535~positive regulation of activation of JAK2 kinase activity,GO:0014068~positive regulation of phosphatidylinositol 3-kinase signaling,GO:0015758~glucose transport,GO:0032355~response to estradiol,GO:0040018~positive regulation of multicellular organism growth,GO:0042517~positive regulation of tyrosine phosphorylation of Stat3 protein,GO:0042523~positive regulation of tyrosine phosphorylation of Stat5 protein,GO:0043406~positive regulation of MAP kinase activity,GO:0043568~positive regulation of insulin-like growth factor receptor signaling pathway,GO:0046427~positive regulation of JAK-STAT cascade,GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,GO:0060396~growth hormone receptor signaling pathway,GO:0060397~JAK-STAT cascade involved in growth hormone signaling pathway,GO:0070977~bone maturation,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005622~intracellular,"	"GO:0005131~growth hormone receptor binding,GO:0005148~prolactin receptor binding,GO:0005179~hormone activity,GO:0005515~protein binding,GO:0008083~growth factor activity,GO:0046872~metal ion binding,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04080:Neuroactive ligand-receptor interaction,hsa04151:PI3K-Akt signaling pathway,hsa04630:Jak-STAT signaling pathway,"	"173100~Growth hormone deficiency, isolated, type II,262400~Growth hormone deficiency, isolated, type IA,262650~Kowarski syndrome,612781~Growth hormone deficiency, isolated, type IB,"	"R-HSA-1170546:R-HSA-1170546,R-HSA-422085:R-HSA-422085,R-HSA-982772:R-HSA-982772,"
IGHA2	immunoglobulin heavy constant alpha 2 (A2m marker)(IGHA2)	Homo sapiens	"GO:0001895~retina homeostasis,GO:0003094~glomerular filtration,GO:0006898~receptor-mediated endocytosis,GO:0006910~phagocytosis, recognition,GO:0006911~phagocytosis, engulfment,GO:0006955~immune response,GO:0006958~complement activation, classical pathway,GO:0019731~antibacterial humoral response,GO:0045087~innate immune response,GO:0050853~B cell receptor signaling pathway,GO:0050871~positive regulation of B cell activation,GO:0060267~positive regulation of respiratory burst,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0009897~external side of plasma membrane,GO:0070062~extracellular exosome,GO:0071748~monomeric IgA immunoglobulin complex,GO:0071751~secretory IgA immunoglobulin complex,GO:0071752~secretory dimeric IgA immunoglobulin complex,GO:0072562~blood microparticle,"	"GO:0003823~antigen binding,GO:0034987~immunoglobulin receptor binding,"			"R-HSA-2168880:R-HSA-2168880,"
IGHG3	immunoglobulin heavy constant gamma 3 (G3m marker)(IGHG3)	Homo sapiens	"GO:0001895~retina homeostasis,GO:0006508~proteolysis,GO:0006910~phagocytosis, recognition,GO:0006911~phagocytosis, engulfment,GO:0006956~complement activation,GO:0006958~complement activation, classical pathway,GO:0038096~Fc-gamma receptor signaling pathway involved in phagocytosis,GO:0042742~defense response to bacterium,GO:0045087~innate immune response,GO:0050853~B cell receptor signaling pathway,GO:0050871~positive regulation of B cell activation,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0009897~external side of plasma membrane,GO:0042571~immunoglobulin complex, circulating,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,"	"GO:0003823~antigen binding,GO:0004252~serine-type endopeptidase activity,GO:0034987~immunoglobulin receptor binding,"			"R-HSA-166663:R-HSA-166663,R-HSA-173623:R-HSA-173623,R-HSA-2029481:R-HSA-2029481,R-HSA-2029482:R-HSA-2029482,R-HSA-2029485:R-HSA-2029485,"
IGHG4	immunoglobulin heavy constant gamma 4 (G4m marker)(IGHG4)	Homo sapiens	"GO:0006508~proteolysis,GO:0006910~phagocytosis, recognition,GO:0006911~phagocytosis, engulfment,GO:0006956~complement activation,GO:0006958~complement activation, classical pathway,GO:0038096~Fc-gamma receptor signaling pathway involved in phagocytosis,GO:0042742~defense response to bacterium,GO:0045087~innate immune response,GO:0050853~B cell receptor signaling pathway,GO:0050871~positive regulation of B cell activation,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0009897~external side of plasma membrane,GO:0042571~immunoglobulin complex, circulating,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,"	"GO:0003823~antigen binding,GO:0004252~serine-type endopeptidase activity,GO:0034987~immunoglobulin receptor binding,"			"R-HSA-166663:R-HSA-166663,R-HSA-173623:R-HSA-173623,R-HSA-2029481:R-HSA-2029481,R-HSA-2029482:R-HSA-2029482,R-HSA-2029485:R-HSA-2029485,"
IL10RB	interleukin 10 receptor subunit beta(IL10RB)	Homo sapiens	"GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007165~signal transduction,GO:0019221~cytokine-mediated signaling pathway,GO:0051607~defense response to virus,"	"GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0032002~interleukin-28 receptor complex,GO:0070062~extracellular exosome,"	"GO:0004872~receptor activity,GO:0004920~interleukin-10 receptor activity,GO:0005515~protein binding,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04630:Jak-STAT signaling pathway,hsa05145:Toxoplasmosis,hsa05152:Tuberculosis,"	"610424~Hepatitis B virus, susceptibility to,612567~Inflammatory bowel disease 25, early onset, autosomal recessive,"	"R-HSA-449147:R-HSA-449147,"
IL10	interleukin 10(IL10)	Homo sapiens	"GO:0002237~response to molecule of bacterial origin,GO:0002740~negative regulation of cytokine secretion involved in immune response,GO:0002875~negative regulation of chronic inflammatory response to antigenic stimulus,GO:0002904~positive regulation of B cell apoptotic process,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007253~cytoplasmic sequestering of NF-kappaB,GO:0007267~cell-cell signaling,GO:0007568~aging,GO:0008285~negative regulation of cell proliferation,GO:0010468~regulation of gene expression,GO:0014823~response to activity,GO:0014854~response to inactivity,GO:0030097~hemopoiesis,GO:0030183~B cell differentiation,GO:0030595~leukocyte chemotaxis,GO:0030886~negative regulation of myeloid dendritic cell activation,GO:0030889~negative regulation of B cell proliferation,GO:0032689~negative regulation of interferon-gamma production,GO:0032692~negative regulation of interleukin-1 production,GO:0032695~negative regulation of interleukin-12 production,GO:0032701~negative regulation of interleukin-18 production,GO:0032715~negative regulation of interleukin-6 production,GO:0032717~negative regulation of interleukin-8 production,GO:0032720~negative regulation of tumor necrosis factor production,GO:0032800~receptor biosynthetic process,GO:0032868~response to insulin,GO:0034115~negative regulation of heterotypic cell-cell adhesion,GO:0034116~positive regulation of heterotypic cell-cell adhesion,GO:0034465~response to carbon monoxide,GO:0035729~cellular response to hepatocyte growth factor stimulus,GO:0042092~type 2 immune response,GO:0042100~B cell proliferation,GO:0042130~negative regulation of T cell proliferation,GO:0042493~response to drug,GO:0042536~negative regulation of tumor necrosis factor biosynthetic process,GO:0042742~defense response to bacterium,GO:0042832~defense response to protozoan,GO:0043032~positive regulation of macrophage activation,GO:0043066~negative regulation of apoptotic process,GO:0044130~negative regulation of growth of symbiont in host,GO:0045019~negative regulation of nitric oxide biosynthetic process,GO:0045191~regulation of isotype switching,GO:0045347~negative regulation of MHC class II biosynthetic process,GO:0045348~positive regulation of MHC class II biosynthetic process,GO:0045355~negative regulation of interferon-alpha biosynthetic process,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045930~negative regulation of mitotic cell cycle,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046427~positive regulation of JAK-STAT cascade,GO:0050715~positive regulation of cytokine secretion,GO:0050807~regulation of synapse organization,GO:0051045~negative regulation of membrane protein ectodomain proteolysis,GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity,GO:0051384~response to glucocorticoid,GO:0060302~negative regulation of cytokine activity,GO:0060670~branching involved in labyrinthine layer morphogenesis,GO:0071222~cellular response to lipopolysaccharide,GO:0071392~cellular response to estradiol stimulus,GO:0071650~negative regulation of chemokine (C-C motif) ligand 5 production,GO:0072577~endothelial cell apoptotic process,GO:0097421~liver regeneration,GO:1903034~regulation of response to wounding,GO:1903659~regulation of complement-dependent cytotoxicity,GO:1904057~negative regulation of sensory perception of pain,GO:1904706~negative regulation of vascular smooth muscle cell proliferation,GO:1904707~positive regulation of vascular smooth muscle cell proliferation,GO:2000352~negative regulation of endothelial cell apoptotic process,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005737~cytoplasm,"	"GO:0005125~cytokine activity,GO:0005141~interleukin-10 receptor binding,GO:0005515~protein binding,GO:0008083~growth factor activity,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04068:FoxO signaling pathway,hsa04630:Jak-STAT signaling pathway,hsa04660:T cell receptor signaling pathway,hsa04672:Intestinal immune network for IgA production,hsa05133:Pertussis,hsa05140:Leishmaniasis,hsa05142:Chagas disease (American trypanosomiasis),hsa05143:African trypanosomiasis,hsa05144:Malaria,hsa05145:Toxoplasmosis,hsa05146:Amoebiasis,hsa05150:Staphylococcus aureus infection,hsa05152:Tuberculosis,hsa05310:Asthma,hsa05320:Autoimmune thyroid disease,hsa05321:Inflammatory bowel disease (IBD),hsa05322:Systemic lupus erythematosus,hsa05330:Allograft rejection,"	"180300~Rheumatoid arthritis, progression of,609423~HIV-1, susceptibility to,614395~Graft-versus-host disease, protection against,"	
IL15RA	interleukin 15 receptor subunit alpha(IL15RA)	Homo sapiens	"GO:0007165~signal transduction,GO:0007259~JAK-STAT cascade,GO:0008283~cell proliferation,GO:0010977~negative regulation of neuron projection development,GO:0019221~cytokine-mediated signaling pathway,GO:0031667~response to nutrient levels,GO:0032825~positive regulation of natural killer cell differentiation,"	"GO:0000139~Golgi membrane,GO:0005615~extracellular space,GO:0005789~endoplasmic reticulum membrane,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0030659~cytoplasmic vesicle membrane,GO:0031410~cytoplasmic vesicle,GO:0031965~nuclear membrane,"	"GO:0004871~signal transducer activity,GO:0004896~cytokine receptor activity,GO:0005515~protein binding,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04630:Jak-STAT signaling pathway,hsa04672:Intestinal immune network for IgA production,hsa05166:HTLV-I infection,"		"R-HSA-449147:R-HSA-449147,"
IL6	interleukin 6(IL6)	Homo sapiens	"GO:0001781~neutrophil apoptotic process,GO:0001878~response to yeast,GO:0002384~hepatic immune response,GO:0002446~neutrophil mediated immunity,GO:0002526~acute inflammatory response,GO:0002548~monocyte chemotaxis,GO:0002675~positive regulation of acute inflammatory response,GO:0002690~positive regulation of leukocyte chemotaxis,GO:0006469~negative regulation of protein kinase activity,GO:0006953~acute-phase response,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0006959~humoral immune response,GO:0007568~aging,GO:0008284~positive regulation of cell proliferation,GO:0008285~negative regulation of cell proliferation,GO:0008360~regulation of cell shape,GO:0009408~response to heat,GO:0009409~response to cold,GO:0010574~regulation of vascular endothelial growth factor production,GO:0010628~positive regulation of gene expression,GO:0010888~negative regulation of lipid storage,GO:0010976~positive regulation of neuron projection development,GO:0010996~response to auditory stimulus,GO:0016049~cell growth,GO:0019221~cytokine-mediated signaling pathway,GO:0030168~platelet activation,GO:0031000~response to caffeine,GO:0031018~endocrine pancreas development,GO:0031175~neuron projection development,GO:0031669~cellular response to nutrient levels,GO:0032494~response to peptidoglycan,GO:0032722~positive regulation of chemokine production,GO:0032755~positive regulation of interleukin-6 production,GO:0032868~response to insulin,GO:0032966~negative regulation of collagen biosynthetic process,GO:0033138~positive regulation of peptidyl-serine phosphorylation,GO:0033160~positive regulation of protein import into nucleus, translocation,GO:0035729~cellular response to hepatocyte growth factor stimulus,GO:0042060~wound healing,GO:0042102~positive regulation of T cell proliferation,GO:0042493~response to drug,GO:0042517~positive regulation of tyrosine phosphorylation of Stat3 protein,GO:0042593~glucose homeostasis,GO:0042832~defense response to protozoan,GO:0043065~positive regulation of apoptotic process,GO:0043066~negative regulation of apoptotic process,GO:0043154~negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0043200~response to amino acid,GO:0043410~positive regulation of MAPK cascade,GO:0045079~negative regulation of chemokine biosynthetic process,GO:0045188~regulation of circadian sleep/wake cycle, non-REM sleep,GO:0045429~positive regulation of nitric oxide biosynthetic process,GO:0045454~cell redox homeostasis,GO:0045599~negative regulation of fat cell differentiation,GO:0045630~positive regulation of T-helper 2 cell differentiation,GO:0045669~positive regulation of osteoblast differentiation,GO:0045721~negative regulation of gluconeogenesis,GO:0045727~positive regulation of translation,GO:0045740~positive regulation of DNA replication,GO:0045765~regulation of angiogenesis,GO:0045779~negative regulation of bone resorption,GO:0045837~negative regulation of membrane potential,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046427~positive regulation of JAK-STAT cascade,GO:0046677~response to antibiotic,GO:0046716~muscle cell cellular homeostasis,GO:0046849~bone remodeling,GO:0046888~negative regulation of hormone secretion,GO:0048635~negative regulation of muscle organ development,GO:0048661~positive regulation of smooth muscle cell proliferation,GO:0050679~positive regulation of epithelial cell proliferation,GO:0050710~negative regulation of cytokine secretion,GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,GO:0050829~defense response to Gram-negative bacterium,GO:0050830~defense response to Gram-positive bacterium,GO:0050871~positive regulation of B cell activation,GO:0051024~positive regulation of immunoglobulin secretion,GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity,GO:0051092~positive regulation of NF-kappaB transcription factor activity,GO:0051384~response to glucocorticoid,GO:0051592~response to calcium ion,GO:0051602~response to electrical stimulus,GO:0051607~defense response to virus,GO:0051897~positive regulation of protein kinase B signaling,GO:0051971~positive regulation of transmission of nerve impulse,GO:0060445~branching involved in salivary gland morphogenesis,GO:0060664~epithelial cell proliferation involved in salivary gland morphogenesis,GO:0070091~glucagon secretion,GO:0070102~interleukin-6-mediated signaling pathway,GO:0070301~cellular response to hydrogen peroxide,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0071222~cellular response to lipopolysaccharide,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,GO:0071392~cellular response to estradiol stimulus,GO:0071549~cellular response to dexamethasone stimulus,GO:0071864~positive regulation of cell proliferation in bone marrow,GO:0072540~T-helper 17 cell lineage commitment,GO:1901215~negative regulation of neuron death,GO:1990646~cellular response to prolactin,GO:2000366~positive regulation of STAT protein import into nucleus,GO:2000553~positive regulation of T-helper 2 cell cytokine production,GO:2000660~negative regulation of interleukin-1-mediated signaling pathway,GO:2000676~positive regulation of type B pancreatic cell apoptotic process,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005737~cytoplasm,GO:0005896~interleukin-6 receptor complex,GO:0009897~external side of plasma membrane,"	"GO:0005125~cytokine activity,GO:0005138~interleukin-6 receptor binding,GO:0005515~protein binding,GO:0008083~growth factor activity,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04066:HIF-1 signaling pathway,hsa04068:FoxO signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04620:Toll-like receptor signaling pathway,hsa04621:NOD-like receptor signaling pathway,hsa04623:Cytosolic DNA-sensing pathway,hsa04630:Jak-STAT signaling pathway,hsa04640:Hematopoietic cell lineage,hsa04668:TNF signaling pathway,hsa04672:Intestinal immune network for IgA production,hsa04931:Insulin resistance,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa05020:Prion diseases,hsa05132:Salmonella infection,hsa05133:Pertussis,hsa05134:Legionellosis,hsa05142:Chagas disease (American trypanosomiasis),hsa05143:African trypanosomiasis,hsa05144:Malaria,hsa05146:Amoebiasis,hsa05152:Tuberculosis,hsa05161:Hepatitis B,hsa05162:Measles,hsa05164:Influenza A,hsa05166:HTLV-I infection,hsa05168:Herpes simplex infection,hsa05200:Pathways in cancer,hsa05202:Transcriptional misregulation in cancer,hsa05321:Inflammatory bowel disease (IBD),hsa05323:Rheumatoid arthritis,hsa05332:Graft-versus-host disease,hsa05410:Hypertrophic cardiomyopathy (HCM),"	"108010~Intracranial hemorrhage in brain cerebrovascular malformations, susceptibility to,125853~Diabetes, susceptibility to, 222100,148000~Kaposi sarcoma, susceptibility to,266600~Crohn disease-associated growth failure,604302~Rheumatoid arthritis, systemic juvenile,"	"R-HSA-1059683:R-HSA-1059683,R-HSA-110056:R-HSA-110056,R-HSA-112411:R-HSA-112411,R-HSA-2559582:R-HSA-2559582,"
KLK11	kallikrein related peptidase 11(KLK11)	Homo sapiens	"GO:0006508~proteolysis,"	"GO:0005615~extracellular space,GO:0005794~Golgi apparatus,GO:0070062~extracellular exosome,"	"GO:0004252~serine-type endopeptidase activity,GO:0008236~serine-type peptidase activity,"			
LRG1	leucine rich alpha-2-glycoprotein 1(LRG1)	Homo sapiens	"GO:0001938~positive regulation of endothelial cell proliferation,GO:0030511~positive regulation of transforming growth factor beta receptor signaling pathway,GO:0045766~positive regulation of angiogenesis,GO:0050873~brown fat cell differentiation,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0016020~membrane,GO:0070062~extracellular exosome,"	"GO:0005160~transforming growth factor beta receptor binding,"			
NPPB	natriuretic peptide B(NPPB)	Homo sapiens	"GO:0006182~cGMP biosynthetic process,GO:0007166~cell surface receptor signaling pathway,GO:0007168~receptor guanylyl cyclase signaling pathway,GO:0007589~body fluid secretion,GO:0008217~regulation of blood pressure,GO:0016525~negative regulation of angiogenesis,GO:0030308~negative regulation of cell growth,GO:0035810~positive regulation of urine volume,GO:0035815~positive regulation of renal sodium excretion,GO:0042312~regulation of vasodilation,GO:0043114~regulation of vascular permeability,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0043234~protein complex,"	"GO:0005102~receptor binding,GO:0005179~hormone activity,GO:0005515~protein binding,GO:0008613~diuretic hormone activity,"	"hsa04022:cGMP-PKG signaling pathway,"		
PSPHP1	phosphoserine phosphatase pseudogene 1(PSPHP1)	Homo sapiens	"GO:0008283~cell proliferation,GO:0016311~dephosphorylation,"		"GO:0004647~phosphoserine phosphatase activity,"			
PLAT	"plasminogen activator, tissue type(PLAT)"	Homo sapiens	"GO:0001666~response to hypoxia,GO:0006464~cellular protein modification process,GO:0006508~proteolysis,GO:0007596~blood coagulation,GO:0014909~smooth muscle cell migration,GO:0031639~plasminogen activation,GO:0042730~fibrinolysis,GO:0045861~negative regulation of proteolysis,GO:0048008~platelet-derived growth factor receptor signaling pathway,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005737~cytoplasm,GO:0009986~cell surface,GO:0030141~secretory granule,GO:0031012~extracellular matrix,GO:0045177~apical part of cell,GO:0070062~extracellular exosome,"	"GO:0001948~glycoprotein binding,GO:0004252~serine-type endopeptidase activity,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0051219~phosphoprotein binding,"	"hsa04610:Complement and coagulation cascades,hsa05202:Transcriptional misregulation in cancer,"	"612348~Hyperfibrinolysis, familial, due to increased release of PLAT,612348~Thrombophilia, familial, due to decreased release of PLAT,"	"R-HSA-186797:R-HSA-186797,R-HSA-75205:R-HSA-75205,"
PRAP1	proline rich acidic protein 1(PRAP1)	Homo sapiens		"GO:0005576~extracellular region,"	"GO:0005515~protein binding,"			
SELE	selectin E(SELE)	Homo sapiens	"GO:0002092~positive regulation of receptor internalization,GO:0002523~leukocyte migration involved in inflammatory response,GO:0006954~inflammatory response,GO:0007155~cell adhesion,GO:0007157~heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,GO:0007159~leukocyte cell-cell adhesion,GO:0007202~activation of phospholipase C activity,GO:0019722~calcium-mediated signaling,GO:0030029~actin filament-based process,GO:0032496~response to lipopolysaccharide,GO:0034612~response to tumor necrosis factor,GO:0050727~regulation of inflammatory response,GO:0050900~leukocyte migration,GO:0050901~leukocyte tethering or rolling,GO:0070555~response to interleukin-1,"	"GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0005901~caveola,GO:0005905~clathrin-coated pit,GO:0016021~integral component of membrane,GO:0030863~cortical cytoskeleton,GO:0045121~membrane raft,GO:0048471~perinuclear region of cytoplasm,"	"GO:0004888~transmembrane signaling receptor activity,GO:0005515~protein binding,GO:0033691~sialic acid binding,GO:0043274~phospholipase binding,GO:0070492~oligosaccharide binding,"	"hsa04514:Cell adhesion molecules (CAMs),hsa04668:TNF signaling pathway,hsa05143:African trypanosomiasis,hsa05144:Malaria,"	"145500~Blood pressure regulation QTL,"	"R-HSA-202733:R-HSA-202733,"
SELPLG	selectin P ligand(SELPLG)	Homo sapiens	"GO:0007155~cell adhesion,GO:0046718~viral entry into host cell,GO:0050900~leukocyte migration,GO:0050902~leukocyte adhesive activation,GO:0071354~cellular response to interleukin-6,"	"GO:0001931~uropod,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,"	"GO:0001618~virus receptor activity,GO:0005102~receptor binding,GO:0005515~protein binding,"	"hsa04514:Cell adhesion molecules (CAMs),hsa05150:Staphylococcus aureus infection,"		"R-HSA-202733:R-HSA-202733,"
SERPINA6	serpin family A member 6(SERPINA6)	Homo sapiens	"GO:0006810~transport,GO:0008211~glucocorticoid metabolic process,GO:0010951~negative regulation of endopeptidase activity,"	"GO:0005615~extracellular space,GO:0070062~extracellular exosome,"	"GO:0004867~serine-type endopeptidase inhibitor activity,GO:0005496~steroid binding,"		"611489~Corticosteroid-binding globulin deficiency,"	
SHBG	sex hormone binding globulin(SHBG)	Homo sapiens		"GO:0005576~extracellular region,GO:0070062~extracellular exosome,"	"GO:0005496~steroid binding,GO:0005497~androgen binding,"			
TF	transferrin(TF)	Homo sapiens	"GO:0001895~retina homeostasis,GO:0002576~platelet degranulation,GO:0006879~cellular iron ion homeostasis,GO:0031647~regulation of protein stability,GO:0033572~transferrin transport,GO:0048260~positive regulation of receptor-mediated endocytosis,GO:0055072~iron ion homeostasis,GO:0071281~cellular response to iron ion,GO:0097460~ferrous iron import into cell,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005769~early endosome,GO:0005770~late endosome,GO:0005905~clathrin-coated pit,GO:0009925~basal plasma membrane,GO:0009986~cell surface,GO:0010008~endosome membrane,GO:0016023~cytoplasmic, membrane-bounded vesicle,GO:0016324~apical plasma membrane,GO:0030120~vesicle coat,GO:0030139~endocytic vesicle,GO:0031232~extrinsic component of external side of plasma membrane,GO:0031410~cytoplasmic vesicle,GO:0031982~vesicle,GO:0034774~secretory granule lumen,GO:0045178~basal part of cell,GO:0048471~perinuclear region of cytoplasm,GO:0055037~recycling endosome,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,GO:0097433~dense body,GO:1990712~HFE-transferrin receptor complex,"	"GO:0005515~protein binding,GO:0008198~ferrous iron binding,GO:0008199~ferric iron binding,GO:0015091~ferric iron transmembrane transporter activity,GO:1990459~transferrin receptor binding,"	"hsa04066:HIF-1 signaling pathway,hsa04978:Mineral absorption,"	"209300~Atransferrinemia,"	"R-HSA-114608:R-HSA-114608,R-HSA-917937:R-HSA-917937,R-HSA-917977:R-HSA-917977,"
