Representative miRNA,Target gene,Representative transcript,Gene name,3P-seq tags + 5,Total sites,8mer sites,7mer-m8 sites,7mer-A1 sites,6mer sites,Cumulative weighted context++ score,Total context++ score,Aggregate PCT,"Previous TargetScan publication(s)
"
hsa-miR-223-5p,GALNT5,ENST00000259056.4,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 5 (GalNAc-T5),462,2,0,1,1,0,-0.02,-0.09,0,0
hsa-miR-223-5p,DCTN5,ENST00000300087.2,dynactin 5 (p25),764,1,0,1,0,1,-0.02,-0.02,0,0
hsa-miR-223-5p,HIPK1,ENST00000369558.1,homeodomain interacting protein kinase 1,930,1,0,1,0,0,-0.02,-0.02,0,0
hsa-miR-223-5p,CCDC77,ENST00000239830.4,coiled-coil domain containing 77,8,2,1,0,1,1,-0.02,-0.11,0,0
hsa-miR-223-5p,RASAL2,ENST00000448150.3,RAS protein activator like 2,950,2,0,2,0,1,-0.02,-0.04,0,0
hsa-miR-223-5p,PPARA,ENST00000396000.2,peroxisome proliferator-activated receptor alpha,82,1,0,1,0,0,-0.02,-0.03,0,0
hsa-miR-223-5p,ATP11B,ENST00000323116.5,"ATPase, class VI, type 11B",459,2,2,0,0,0,-0.02,-0.1,0,0
hsa-miR-223-5p,CHD9,ENST00000566029.1,chromodomain helicase DNA binding protein 9,447,1,0,1,0,0,-0.02,-0.02,0,0
hsa-miR-223-5p,DONSON,ENST00000453626.1,downstream neighbor of SON,103,1,1,0,0,0,-0.02,-0.31,0,0
hsa-miR-223-5p,KCNMB3,ENST00000497599.1,"potassium large conductance calcium-activated channel, subfamily M beta member 3",8,1,0,0,1,0,-0.02,-0.05,0,0
hsa-miR-223-5p,RAP1A,ENST00000369709.3,"RAP1A, member of RAS oncogene family",382,2,1,0,1,0,-0.02,-0.28,0,0
hsa-miR-223-5p,VMP1,ENST00000262291.4,vacuole membrane protein 1,2505,2,0,1,1,0,-0.02,-0.23,0,0
hsa-miR-223-5p,ARSK,ENST00000380009.4,"arylsulfatase family, member K",298,3,0,0,3,0,-0.02,-0.15,0,0
hsa-miR-223-5p,RHOB,ENST00000272233.4,ras homolog family member B,6532,1,0,1,0,0,-0.02,-0.02,0,0
hsa-miR-223-5p,PDE3B,ENST00000282096.4,"phosphodiesterase 3B, cGMP-inhibited",258,1,0,1,0,0,-0.02,-0.02,0,0
hsa-miR-223-5p,HOXC11,ENST00000546378.1,homeobox C11,80,1,0,0,1,1,-0.02,-0.14,0,0
hsa-miR-223-5p,MRS2,ENST00000274747.7,MRS2 magnesium transporter,826,1,0,1,0,0,-0.02,-0.18,0,0
hsa-miR-223-5p,GABRQ,ENST00000370306.2,"gamma-aminobutyric acid (GABA) A receptor, theta",14,2,0,0,2,0,-0.02,-0.05,0,0
hsa-miR-223-5p,BIVM,ENST00000448849.2,"basic, immunoglobulin-like variable motif containing",440,1,0,1,0,0,-0.02,-0.02,0,0
hsa-miR-223-5p,CLDN10,ENST00000376873.3,claudin 10,7,1,0,0,1,0,-0.02,-0.03,0,0
hsa-miR-223-5p,PPM1M,ENST00000296487.4,"protein phosphatase, Mg2+/Mn2+ dependent, 1M",5,1,0,0,1,0,-0.02,-0.02,0,0
hsa-miR-223-5p,TRIM14,ENST00000341469.2,tripartite motif containing 14,44,1,0,1,0,0,-0.02,-0.02,0,0
hsa-miR-223-5p,SMAD2,ENST00000262160.6,SMAD family member 2,1196,3,1,1,1,2,-0.02,-0.25,0,0
hsa-miR-223-5p,FXR1,ENST00000357559.4,"fragile X mental retardation, autosomal homolog 1",434,1,1,0,0,1,-0.02,-0.14,0,0
hsa-miR-223-5p,IRF2BP2,ENST00000366610.3,interferon regulatory factor 2 binding protein 2,8690,1,0,0,1,0,-0.02,-0.14,0,0
hsa-miR-223-5p,ALS2,ENST00000457679.2,amyotrophic lateral sclerosis 2 (juvenile),206,1,0,1,0,0,-0.02,-0.02,0,0
hsa-miR-223-5p,RABL3,ENST00000273375.3,"RAB, member of RAS oncogene family-like 3",165,1,1,0,0,0,-0.02,-0.4,0,0
hsa-miR-223-5p,CACNB1,ENST00000394303.3,"calcium channel, voltage-dependent, beta 1 subunit",81,1,1,0,0,0,-0.02,-0.34,0,0
hsa-miR-223-5p,PSME3,ENST00000541124.1,"proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)",3605,1,0,0,1,0,-0.02,-0.06,0,0
hsa-miR-223-5p,STIM2,ENST00000467011.1,stromal interaction molecule 2,380,2,0,0,2,0,-0.02,-0.13,0,0
hsa-miR-223-5p,KIAA1549,ENST00000440172.1,KIAA1549,508,1,0,1,0,0,-0.02,-0.02,0,0
hsa-miR-223-5p,ZNF277,ENST00000361822.3,zinc finger protein 277,286,3,2,0,1,0,-0.02,-0.36,0,0
hsa-miR-223-5p,CMTM4,ENST00000394106.2,CKLF-like MARVEL transmembrane domain containing 4,22,2,2,0,0,0,-0.02,-0.06,0,0
hsa-miR-223-5p,SFXN3,ENST00000393459.1,sideroflexin 3,154,1,0,0,1,0,-0.02,-0.02,0,0
hsa-miR-223-5p,FBXL18,ENST00000382368.3,F-box and leucine-rich repeat protein 18,92,1,0,0,1,0,-0.02,-0.02,0,0
hsa-miR-223-5p,SLC25A21,ENST00000331299.5,"solute carrier family 25 (mitochondrial oxoadipate carrier), member 21",110,1,0,1,0,0,-0.02,-0.13,0,0
hsa-miR-223-5p,HCAR1,ENST00000432564.1,hydroxycarboxylic acid receptor 1,38,1,0,0,1,0,-0.02,-0.02,0,0
hsa-miR-223-5p,COX10,ENST00000261643.3,cytochrome c oxidase assembly homolog 10 (yeast),72,1,0,0,1,0,-0.02,-0.02,0,0
hsa-miR-223-5p,C10orf54,ENST00000394957.3,chromosome 10 open reading frame 54,78,1,0,0,1,0,-0.02,-0.08,0,0
hsa-miR-223-5p,ACER2,ENST00000340967.2,alkaline ceramidase 2,44,1,0,1,0,0,-0.02,-0.02,0,0
hsa-miR-223-5p,CSRNP2,ENST00000228515.1,cysteine-serine-rich nuclear protein 2,104,1,1,0,0,0,-0.02,-0.25,0,0
hsa-miR-223-5p,REEP1,ENST00000165698.5,receptor accessory protein 1,49,1,0,0,1,0,-0.02,-0.11,0,0
hsa-miR-223-5p,ADAM23,ENST00000264377.3,ADAM metallopeptidase domain 23,113,2,1,0,1,0,-0.02,-0.04,0,0
hsa-miR-223-5p,PTEN,ENST00000371953.3,phosphatase and tensin homolog,118,1,0,0,1,0,-0.02,-0.03,0,0
hsa-miR-223-5p,FAM114A1,ENST00000358869.2,"family with sequence similarity 114, member A1",1504,1,0,1,0,1,-0.02,-0.02,0,0
hsa-miR-223-5p,UTP23,ENST00000309822.2,"UTP23, small subunit (SSU) processome component, homolog (yeast)",54,1,0,0,1,1,-0.02,-0.17,0,0
hsa-miR-223-5p,GDF5OS,ENST00000374375.1,growth differentiation factor 5 opposite strand,122,1,0,1,0,0,-0.02,-0.13,0,0
hsa-miR-223-5p,UBR2,ENST00000372883.3,ubiquitin protein ligase E3 component n-recognin 2,728,1,0,0,1,0,-0.02,-0.04,0,0
hsa-miR-223-5p,CHST6,ENST00000332272.4,carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 6,37,1,0,1,0,0,-0.02,-0.02,0,0
hsa-miR-223-5p,CLOCK,ENST00000309964.4,clock circadian regulator,86,2,0,0,2,0,-0.02,-0.02,0,0
hsa-miR-223-5p,PDK3,ENST00000441463.2,"pyruvate dehydrogenase kinase, isozyme 3",659,1,0,0,1,1,-0.02,-0.03,0,0
hsa-miR-223-5p,TYRO3,ENST00000263798.3,TYRO3 protein tyrosine kinase,70,1,1,0,0,0,-0.02,-0.16,0,0
hsa-miR-223-5p,SCUBE3,ENST00000274938.7,"signal peptide, CUB domain, EGF-like 3",47,1,1,0,0,0,-0.02,-0.03,0,0
hsa-miR-223-5p,ZC3H10,ENST00000257940.2,zinc finger CCCH-type containing 10,49,1,0,1,0,0,-0.02,-0.02,0,0
hsa-miR-223-5p,EHBP1,ENST00000431489.1,EH domain binding protein 1,28,1,0,1,0,0,-0.02,-0.02,0,0
hsa-miR-223-5p,CNKSR3,ENST00000607772.1,CNKSR family member 3,567,4,2,0,2,2,-0.02,-0.34,0,0
hsa-miR-223-5p,HEPHL1,ENST00000315765.9,hephaestin-like 1,5,2,0,1,1,0,-0.02,-0.04,0,0
hsa-miR-223-5p,PTPN4,ENST00000263708.2,"protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte)",215,1,0,1,0,3,-0.02,-0.02,0,0
hsa-miR-223-5p,FREM2,ENST00000280481.7,FRAS1 related extracellular matrix protein 2,33,4,0,1,3,0,-0.02,-0.05,0,0
hsa-miR-223-5p,PSMB9,ENST00000395330.1,"proteasome (prosome, macropain) subunit, beta type, 9",64,1,0,0,1,1,-0.02,-0.28,0,0
hsa-miR-223-5p,NT5C1B,ENST00000600945.1,"5'-nucleotidase, cytosolic IB",567,1,0,0,1,0,-0.02,-0.02,0,0
hsa-miR-223-5p,PIP4K2B,ENST00000269554.3,"phosphatidylinositol-5-phosphate 4-kinase, type II, beta",148,1,0,1,0,0,-0.02,-0.02,0,0
hsa-miR-223-5p,MAP3K9,ENST00000554752.2,mitogen-activated protein kinase kinase kinase 9,44,2,0,0,2,0,-0.02,-0.02,0,0
hsa-miR-223-5p,WDTC1,ENST00000319394.3,WD and tetratricopeptide repeats 1,137,1,0,0,1,0,-0.02,-0.07,0,0
hsa-miR-223-5p,PALM2-AKAP2,ENST00000374530.3,PALM2-AKAP2 readthrough,1287,1,0,0,1,1,-0.02,-0.02,0,0
hsa-miR-223-5p,ZNF570,ENST00000388801.3,zinc finger protein 570,12,1,0,0,1,0,-0.02,-0.14,0,0
hsa-miR-223-5p,MXD1,ENST00000264444.2,MAX dimerization protein 1,183,1,0,0,1,0,-0.02,-0.11,0,0
hsa-miR-223-5p,CDH6,ENST00000265071.2,"cadherin 6, type 2, K-cadherin (fetal kidney)",213,2,0,0,2,1,-0.02,-0.11,0,0
hsa-miR-223-5p,SPATA6,ENST00000371847.3,spermatogenesis associated 6,23,1,0,0,1,0,-0.02,-0.03,0,0
hsa-miR-223-5p,NT5C1B-RDH14,ENST00000532967.1,NT5C1B-RDH14 readthrough,572,1,0,0,1,0,-0.02,-0.02,0,0
hsa-miR-223-5p,RPS14,ENST00000401695.3,ribosomal protein S14,2353,1,1,0,0,0,-0.02,-0.34,0,0
hsa-miR-223-5p,PDE12,ENST00000311180.8,phosphodiesterase 12,326,2,0,0,2,0,-0.02,-0.08,0,0
hsa-miR-223-5p,CELF1,ENST00000395290.2,"CUGBP, Elav-like family member 1",153,1,0,0,1,1,-0.02,-0.02,0,0
hsa-miR-223-5p,MAP2K6,ENST00000590474.1,mitogen-activated protein kinase kinase 6,235,3,1,1,1,0,-0.02,-0.1,0,0
hsa-miR-223-5p,DYRK2,ENST00000344096.3,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2,1091,1,0,0,1,0,-0.02,-0.13,0,0
hsa-miR-223-5p,ZNF805,ENST00000535550.1,zinc finger protein 805,58,2,0,0,2,2,-0.02,-0.03,0,0
hsa-miR-223-5p,STX11,ENST00000367568.4,syntaxin 11,13,1,0,0,1,1,-0.02,-0.14,0,0
hsa-miR-223-5p,EVI5,ENST00000370331.1,ecotropic viral integration site 5,172,1,0,1,0,0,-0.02,-0.02,0,0
hsa-miR-223-5p,GBA,ENST00000368373.3,"glucosidase, beta, acid",27,1,0,0,1,0,-0.02,-0.02,0,0
hsa-miR-223-5p,SPICE1,ENST00000295872.4,spindle and centriole associated protein 1,160,1,0,1,0,0,-0.02,-0.17,0,0
hsa-miR-223-5p,SRPRB,ENST00000466490.2,"signal recognition particle receptor, B subunit",3330,1,0,0,1,0,-0.02,-0.12,0,0
hsa-miR-223-5p,ZNF417,ENST00000312026.5,zinc finger protein 417,19,1,0,0,1,1,-0.02,-0.02,0,0
hsa-miR-223-5p,ZC3H7B,ENST00000352645.4,zinc finger CCCH-type containing 7B,888,1,0,0,1,0,-0.02,-0.02,0,0
hsa-miR-223-5p,RBM48,ENST00000481551.1,RNA binding motif protein 48,220,1,0,1,0,1,-0.02,-0.04,0,0
hsa-miR-223-5p,ZNF585A,ENST00000356958.4,zinc finger protein 585A,77,1,0,0,1,0,-0.02,-0.02,0,0
hsa-miR-223-5p,TAT,ENST00000355962.4,tyrosine aminotransferase,5,1,0,0,1,0,-0.02,-0.02,0,0
hsa-miR-223-5p,TJP1,ENST00000346128.6,tight junction protein 1,140,1,0,1,0,0,-0.02,-0.06,0,0
hsa-miR-223-5p,KRAS,ENST00000256078.4,Kirsten rat sarcoma viral oncogene homolog,40,1,0,0,1,1,-0.02,-0.09,0,0
hsa-miR-223-5p,PTBP3,ENST00000374257.1,polypyrimidine tract binding protein 3,214,1,0,1,0,1,-0.02,-0.05,0,0
hsa-miR-223-5p,CEP41,ENST00000223208.5,centrosomal protein 41kDa,346,1,0,0,1,0,-0.02,-0.08,0,0
hsa-miR-223-5p,GSPT1,ENST00000434724.2,G1 to S phase transition 1,1119,1,0,1,0,0,-0.02,-0.13,0,0
hsa-miR-223-5p,IRS1,ENST00000305123.5,insulin receptor substrate 1,804,4,0,0,4,2,-0.02,-0.06,0,0
hsa-miR-223-5p,ZNF573,ENST00000590414.2,zinc finger protein 573,12,1,1,0,0,0,-0.02,-0.03,0,0
hsa-miR-223-5p,TMEM11,ENST00000317635.5,transmembrane protein 11,223,1,0,1,0,0,-0.02,-0.13,0,0
hsa-miR-223-5p,SIKE1,ENST00000369528.5,suppressor of IKBKE 1,281,1,0,1,0,0,-0.02,-0.17,0,0
hsa-miR-223-5p,NDUFA6,ENST00000602404.1,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa",1691,2,0,0,2,0,-0.02,-0.43,0,0
hsa-miR-223-5p,ZNF446,ENST00000335841.4,zinc finger protein 446,44,1,1,0,0,0,-0.02,-0.2,0,0
hsa-miR-223-5p,TNRC6B,ENST00000335727.9,trinucleotide repeat containing 6B,69,2,0,0,2,1,-0.02,-0.02,0,0
hsa-miR-223-5p,OPA1,ENST00000392438.3,optic atrophy 1 (autosomal dominant),962,1,0,0,1,0,-0.02,-0.03,0,0
hsa-miR-223-5p,NCOA3,ENST00000341724.6,nuclear receptor coactivator 3,282,1,0,1,0,0,-0.02,-0.02,0,0
hsa-miR-223-5p,PAWR,ENST00000328827.4,"PRKC, apoptosis, WT1, regulator",1872,1,0,0,1,1,-0.02,-0.14,0,0
hsa-miR-223-5p,ARL14EP,ENST00000282032.3,ADP-ribosylation factor-like 14 effector protein,164,1,0,0,1,0,-0.02,-0.15,0,0
hsa-miR-223-5p,CHST11,ENST00000549260.1,carbohydrate (chondroitin 4) sulfotransferase 11,686,1,0,0,1,0,-0.02,-0.02,0,0
hsa-miR-223-5p,PTPRB,ENST00000334414.6,"protein tyrosine phosphatase, receptor type, B",42,1,0,0,1,1,-0.02,-0.05,0,0
hsa-miR-223-5p,GPLD1,ENST00000230036.1,glycosylphosphatidylinositol specific phospholipase D1,51,1,0,1,0,0,-0.02,-0.02,0,0
hsa-miR-223-5p,FGFR1OP,ENST00000366847.4,FGFR1 oncogene partner,552,1,0,1,0,2,-0.02,-0.21,0,0
hsa-miR-223-5p,CA12,ENST00000178638.3,carbonic anhydrase XII,42,1,0,0,1,1,-0.02,-0.09,0,0
hsa-miR-223-5p,RGS5,ENST00000313961.5,regulator of G-protein signaling 5,56,1,0,0,1,0,-0.02,-0.12,0,0
hsa-miR-223-5p,RNF138,ENST00000261593.3,"ring finger protein 138, E3 ubiquitin protein ligase",376,1,0,0,1,0,-0.01,-0.01,0,0
hsa-miR-223-5p,ZMYND11,ENST00000381591.1,"zinc finger, MYND-type containing 11",43,1,0,0,1,0,-0.01,-0.1,0,0
hsa-miR-223-5p,TP53I11,ENST00000395648.3,tumor protein p53 inducible protein 11,90,1,0,0,1,1,-0.01,-0.01,0,0
hsa-miR-223-5p,MYO5B,ENST00000285039.7,myosin VB,12,1,0,0,1,3,-0.01,-0.01,0,0
hsa-miR-223-5p,EFCAB11,ENST00000316738.7,EF-hand calcium binding domain 11,25,1,0,0,1,0,-0.01,-0.07,0,0
hsa-miR-223-5p,QKI,ENST00000392127.2,"QKI, KH domain containing, RNA binding",323,2,1,0,1,0,-0.01,-0.21,0,0
hsa-miR-223-5p,ZNF529,ENST00000334116.7,zinc finger protein 529,120,2,0,0,2,1,-0.01,-0.02,0,0
hsa-miR-223-5p,SSPN,ENST00000242729.2,sarcospan,25,4,0,1,3,1,-0.01,-0.17,0,0
hsa-miR-223-5p,GNG4,ENST00000450593.1,"guanine nucleotide binding protein (G protein), gamma 4",1171,1,1,0,0,0,-0.01,-0.12,0,0
hsa-miR-223-5p,MFAP4,ENST00000497081.2,microfibrillar-associated protein 4,67,1,0,0,1,0,-0.01,-0.11,0,0
hsa-miR-223-5p,HOXD12,ENST00000404162.2,homeobox D12,6,1,0,0,1,0,-0.01,-0.12,0,0
hsa-miR-223-5p,NAA15,ENST00000296543.5,"N(alpha)-acetyltransferase 15, NatA auxiliary subunit",546,1,1,0,0,1,-0.01,-0.03,0,0
hsa-miR-223-5p,SRRD,ENST00000215917.7,SRR1 domain containing,1069,1,0,0,1,0,-0.01,-0.05,0,0
hsa-miR-223-5p,NDUFS1,ENST00000233190.6,"NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)",1041,2,0,2,0,0,-0.01,-0.1,0,0
hsa-miR-223-5p,TRAPPC2P1,ENST00000543226.1,trafficking protein particle complex 2 pseudogene 1,66,1,0,1,0,0,-0.01,-0.1,0,0
hsa-miR-223-5p,UNC5C,ENST00000453304.1,unc-5 homolog C (C. elegans),60,2,0,0,2,2,-0.01,-0.02,0,0
hsa-miR-223-5p,CBX1,ENST00000393408.3,chromobox homolog 1,26,1,0,0,1,0,-0.01,-0.08,0,0
hsa-miR-223-5p,COBLL1,ENST00000375458.2,cordon-bleu WH2 repeat protein-like 1,70,5,0,3,2,0,-0.01,-0.12,0,0
hsa-miR-223-5p,FAM177A1,ENST00000280987.4,"family with sequence similarity 177, member A1",765,1,0,0,1,0,-0.01,-0.14,0,0
hsa-miR-223-5p,ETS2,ENST00000360214.3,v-ets avian erythroblastosis virus E26 oncogene homolog 2,3965,1,0,0,1,0,-0.01,-0.07,0,0
hsa-miR-223-5p,CNTN3,ENST00000263665.6,contactin 3 (plasmacytoma associated),27,1,0,0,1,0,-0.01,-0.08,0,0
hsa-miR-223-5p,OXTR,ENST00000316793.3,oxytocin receptor,24,2,0,0,2,1,-0.01,-0.02,0,0
hsa-miR-223-5p,APBA2,ENST00000558402.1,"amyloid beta (A4) precursor protein-binding, family A, member 2",388,1,0,1,0,0,-0.01,-0.09,0,0
hsa-miR-223-5p,C2CD2,ENST00000329623.7,C2 calcium-dependent domain containing 2,106,1,0,1,0,0,-0.01,-0.02,0,0
hsa-miR-223-5p,PPP1R16B,ENST00000299824.1,"protein phosphatase 1, regulatory subunit 16B",16,1,0,0,1,0,-0.01,-0.01,0,0
hsa-miR-223-5p,MYCBP,ENST00000397572.2,MYC binding protein,85,1,0,0,1,0,-0.01,-0.14,0,0
hsa-miR-223-5p,DNALI1,ENST00000296218.7,"dynein, axonemal, light intermediate chain 1",56,1,0,0,1,0,-0.01,-0.06,0,0
hsa-miR-223-5p,UBE2R2,ENST00000263228.3,ubiquitin-conjugating enzyme E2R 2,2442,1,0,1,0,0,-0.01,-0.09,0,0
hsa-miR-223-5p,GCA,ENST00000437150.2,"grancalcin, EF-hand calcium binding protein",177,1,1,0,0,0,-0.01,-0.25,0,0
hsa-miR-223-5p,CHRM3,ENST00000255380.4,"cholinergic receptor, muscarinic 3",47,1,0,0,1,0,-0.01,-0.02,0,0
hsa-miR-223-5p,NARG2,ENST00000261520.4,NMDA receptor regulated 2,211,2,0,1,1,0,-0.01,-0.03,0,0
hsa-miR-223-5p,GLRX2,ENST00000367439.3,glutaredoxin 2,310,2,0,0,2,1,-0.01,-0.33,0,0
hsa-miR-223-5p,ATM,ENST00000452508.2,ataxia telangiectasia mutated,26,2,0,1,1,0,-0.01,-0.03,0,0
hsa-miR-223-5p,SOX11,ENST00000322002.3,SRY (sex determining region Y)-box 11,1100,1,1,0,0,0,-0.01,-0.06,0,0
hsa-miR-223-5p,KIAA0141,ENST00000194118.4,KIAA0141,1078,2,1,0,1,1,-0.01,-0.09,0,0
hsa-miR-223-5p,SLCO1B3,ENST00000261196.2,"solute carrier organic anion transporter family, member 1B3",119,2,0,0,2,0,-0.01,-0.21,0,0
hsa-miR-223-5p,SZT2,ENST00000562955.1,seizure threshold 2 homolog (mouse),123,1,0,1,0,0,-0.01,-0.02,0,0
hsa-miR-223-5p,AZI2,ENST00000479665.1,5-azacytidine induced 2,530,1,0,0,1,1,-0.01,-0.04,0,0
hsa-miR-223-5p,NR2C2,ENST00000425241.1,"nuclear receptor subfamily 2, group C, member 2",227,1,0,1,0,0,-0.01,-0.02,0,0
hsa-miR-223-5p,XRCC3,ENST00000554913.1,X-ray repair complementing defective repair in Chinese hamster cells 3,86,4,0,1,3,0,-0.01,-0.19,0,0
hsa-miR-223-5p,TNFAIP8,ENST00000504771.2,"tumor necrosis factor, alpha-induced protein 8",608,2,2,0,0,0,-0.01,-0.3,0,0
hsa-miR-223-5p,PLCB4,ENST00000378493.1,"phospholipase C, beta 4",34,2,0,0,2,0,-0.01,-0.09,0,0
hsa-miR-223-5p,HOXB6,ENST00000484302.2,homeobox B6,12,1,0,0,1,0,-0.01,-0.03,0,0
hsa-miR-223-5p,NUP62CL,ENST00000372461.3,nucleoporin 62kDa C-terminal like,73,2,0,0,2,2,-0.01,-0.27,0,0
hsa-miR-223-5p,PIAS2,ENST00000585916.1,"protein inhibitor of activated STAT, 2",194,1,0,1,0,0,-0.01,-0.11,0,0
hsa-miR-223-5p,ZFP82,ENST00000392161.3,ZFP82 zinc finger protein,42,1,0,0,1,0,-0.01,-0.06,0,0
hsa-miR-223-5p,LDHA,ENST00000227157.4,lactate dehydrogenase A,375,1,0,1,0,1,-0.01,-0.12,0,0
hsa-miR-223-5p,TRIP12,ENST00000283943.5,thyroid hormone receptor interactor 12,145,1,0,1,0,1,-0.01,-0.02,0,0
hsa-miR-223-5p,TRAPPC9,ENST00000389328.4,trafficking protein particle complex 9,251,2,0,0,2,0,-0.01,-0.02,0,0
hsa-miR-223-5p,MAP9,ENST00000311277.4,microtubule-associated protein 9,45,1,0,0,1,1,-0.01,-0.07,0,0
hsa-miR-223-5p,WBP11,ENST00000261167.2,WW domain binding protein 11,130,1,0,0,1,1,-0.01,-0.08,0,0
hsa-miR-223-5p,EIF3F,ENST00000533626.1,"eukaryotic translation initiation factor 3, subunit F",64,1,0,0,1,0,-0.01,-0.18,0,0
hsa-miR-223-5p,PDGFB,ENST00000331163.6,platelet-derived growth factor beta polypeptide,5,1,0,0,1,1,-0.01,-0.01,0,0
hsa-miR-223-5p,SH2D4B,ENST00000339284.2,SH2 domain containing 4B,5,1,0,0,1,0,-0.01,-0.01,0,0
hsa-miR-223-5p,SMG1,ENST00000446231.2,SMG1 phosphatidylinositol 3-kinase-related kinase,339,1,0,0,1,1,-0.01,-0.02,0,0
hsa-miR-223-5p,RP11-407N17.3,ENST00000603904.1,cTAGE family member 5 isoform 4,76,1,0,1,0,0,-0.01,-0.21,0,0
hsa-miR-223-5p,METTL14,ENST00000388822.5,methyltransferase like 14,520,2,0,1,1,1,-0.01,-0.08,0,0
hsa-miR-223-5p,ATP1B2,ENST00000250111.4,"ATPase, Na+/K+ transporting, beta 2 polypeptide",34,1,0,0,1,0,-0.01,-0.09,0,0
hsa-miR-223-5p,NOL3,ENST00000432069.2,nucleolar protein 3 (apoptosis repressor with CARD domain),284,1,0,0,1,0,-0.01,-0.07,0,0
hsa-miR-223-5p,NOL8,ENST00000442668.2,nucleolar protein 8,108,1,0,1,0,0,-0.01,-0.17,0,0
hsa-miR-223-5p,NEDD4L,ENST00000256832.7,"neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase",617,4,0,0,3,0,-0.01,-0.05,0,0
hsa-miR-223-5p,SLC43A2,ENST00000301335.5,"solute carrier family 43 (amino acid system L transporter), member 2",68,2,0,0,2,1,-0.01,-0.02,0,0
hsa-miR-223-5p,LRRC8C,ENST00000370454.4,"leucine rich repeat containing 8 family, member C",544,1,0,1,0,0,-0.01,-0.05,0,0
hsa-miR-223-5p,TTL,ENST00000233336.6,tubulin tyrosine ligase,442,4,2,0,2,2,-0.01,-0.41,0,0
hsa-miR-223-5p,PNPLA8,ENST00000426128.2,patatin-like phospholipase domain containing 8,60,1,0,1,0,0,-0.01,-0.05,0,0
hsa-miR-223-5p,LRIG3,ENST00000379141.4,leucine-rich repeats and immunoglobulin-like domains 3,366,2,0,1,1,0,-0.01,-0.21,0,0
hsa-miR-223-5p,LIFR,ENST00000263409.4,leukemia inhibitory factor receptor alpha,44,3,1,1,1,0,-0.01,-0.07,0,0
hsa-miR-223-5p,MMS22L,ENST00000275053.4,"MMS22-like, DNA repair protein",102,1,0,1,0,0,-0.01,-0.02,0,0
hsa-miR-223-5p,C2orf71,ENST00000331664.5,chromosome 2 open reading frame 71,5,1,0,0,1,0,-0.01,-0.01,0,0
hsa-miR-223-5p,TECPR2,ENST00000359520.7,tectonin beta-propeller repeat containing 2,109,1,1,0,0,0,-0.01,-0.03,0,0
hsa-miR-223-5p,TRIOBP,ENST00000406386.3,TRIO and F-actin binding protein,1545,1,0,0,1,0,-0.01,-0.01,0,0
hsa-miR-223-5p,AFF1,ENST00000395146.4,"AF4/FMR2 family, member 1",28,1,1,0,0,2,-0.01,-0.03,0,0
hsa-miR-223-5p,ZNF566,ENST00000454319.1,zinc finger protein 566,310,1,0,0,1,0,-0.01,-0.14,0,0
hsa-miR-223-5p,CTAGE5,ENST00000280083.3,"CTAGE family, member 5",76,1,0,1,0,0,-0.01,-0.19,0,0
hsa-miR-223-5p,PBX1,ENST00000367897.1,pre-B-cell leukemia homeobox 1,18,1,0,0,1,0,-0.01,-0.02,0,0
hsa-miR-223-5p,FPGS,ENST00000373245.1,folylpolyglutamate synthase,117,1,0,0,1,0,-0.01,-0.09,0,0
hsa-miR-223-5p,ATP6V1C1,ENST00000395862.3,"ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1",951,1,0,0,1,0,-0.01,-0.05,0,0
hsa-miR-223-5p,UBE2J1,ENST00000435041.2,"ubiquitin-conjugating enzyme E2, J1",1318,1,0,1,0,1,-0.01,-0.18,0,0
hsa-miR-223-5p,MICA,ENST00000449934.2,MHC class I polypeptide-related sequence A,742,1,1,0,0,0,-0.01,-0.27,0,0
hsa-miR-223-5p,WIPF1,ENST00000392547.2,"WAS/WASL interacting protein family, member 1",304,1,0,1,0,0,-0.01,-0.09,0,0
hsa-miR-223-5p,GPRIN3,ENST00000609438.1,GPRIN family member 3,213,2,0,0,2,0,-0.01,-0.03,0,0
hsa-miR-223-5p,XRRA1,ENST00000527087.1,X-ray radiation resistance associated 1,136,2,2,0,0,0,-0.01,-0.17,0,0
hsa-miR-223-5p,BRWD1,ENST00000342449.3,bromodomain and WD repeat domain containing 1,96,2,1,0,1,0,-0.01,-0.06,0,0
hsa-miR-223-5p,MSH6,ENST00000234420.5,mutS homolog 6,94,1,1,0,0,1,-0.01,-0.15,0,0
hsa-miR-223-5p,VCAN,ENST00000265077.3,versican,542,1,1,0,0,0,-0.01,-0.07,0,0
hsa-miR-223-5p,SRFBP1,ENST00000339397.4,serum response factor binding protein 1,102,4,0,0,4,1,-0.01,-0.44,0,0
